# topic=package-update-19-close-incident
# time=2026-09-12T17:47:41+00:00
$ uname -a
Linux localhost 6.18.35 #1 SMP Mon Aug 31 18:10:37 UTC 2026 x86_64 GNU/Linux
$ id
uid=0(root) gid=0(root) groups=0(root)
$ dpkg-query -W
adduser	3.152
libcaca0:amd64	0.99.beta20-5
libcairo-gobject2:amd64	1.18.4-1+b1
libcairo2:amd64	1.18.4-1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+b3
libcap2-bin	1:2.75-10+b3
libcc1-0:amd64	14.2.0-19
libcdio-cdda2t64:amd64	10.2+2.0.2-1+b1
libcdio-paranoia2t64:amd64	10.2+2.0.2-1+b1
libcdio19t64:amd64	2.2.0-4
libcdparanoia0:amd64	3.10.2+debian-14+b1
libcdr-0.1-1:amd64	0.1.7-1+b3
libcdt5:amd64	2.42.4-3
libcfitsio-dev:amd64	4.6.2-2
libcfitsio-doc	4.6.2-2
libcfitsio10t64:amd64	4.6.2-2
libcgraph6:amd64	2.42.4-3
libchromaprint1:amd64	1.5.1-7
libcjson1:amd64	1.7.18-3.1+deb13u1
libcloudproviders0:amd64	0.3.6-2
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.2+b1
libclucene-core1t64:amd64	2.3.3.4+dfsg-1.2+b1
libcmis-0.6-6t64	0.6.2-2.1+b1
libcodec2-1.2:amd64	1.2.0-3
libcolamd3:amd64	1:7.10.1+dfsg-1
libcolord2:amd64	1.4.7-3
libcom-err2:amd64	1.47.2-3+b11
libcommons-collections3-java	3.2.2-3
libcommons-io-java	2.19.0-1
libcommons-logging-java	1.3.0-2
libcommons-parent-java	56-1
libconfig11:amd64	1.7.3-2
libcpuinfo0:amd64	0.0~git20250327.39ea79a-1
libcrypt-dev:amd64	1:4.4.38-1
libcrypt1:amd64	1:4.4.38-1
libctf-nobfd0:amd64	2.44-3
libctf0:amd64	2.44-3
libcups2t64:amd64	2.4.10-3+deb13u2
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u4
libcurl4-openssl-dev:amd64	8.14.1-2+deb13u4
libcurl4t64:amd64	8.14.1-2+deb13u4
libdatrie1:amd64	0.2.13-3+b1
libdav1d-dev:amd64	1.5.1-1
libdav1d7:amd64	1.5.1-1
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdbus-1-3:amd64	1.16.2-2
libdc1394-25:amd64	2.2.6-5
libdca0:amd64	0.0.7-2+b2
libdconf1:amd64	0.40.0-5
libde265-0:amd64	1.0.15-1+b3
libdebconfclient0:amd64	0.280
libdecor-0-0:amd64	0.2.2-2
libdeflate-dev:amd64	1.23-2
libdeflate0:amd64	1.23-2
libdnnl3.6:amd64	3.7.2+ds-2
libdouble-conversion3:amd64	3.3.1-1
libdpkg-perl	1.22.22
libdrm-amdgpu1:amd64	2.4.124-2
libdrm-common	2.4.124-2
libdrm-intel1:amd64	2.4.124-2
libdrm2:amd64	2.4.124-2
libduktape207:amd64	2.7.0-2+b2
libdv4t64:amd64	1.0.0-17.1+b1
libdvdnav4:amd64	6.1.1-3+b1
libdvdread8t64:amd64	6.1.3-2
libdw1t64:amd64	0.192-4
libe-book-0.1-1:amd64	0.1.3-2+b4
libebur128-1:amd64	1.2.6-1+b2
libedit2:amd64	3.1-20250104-1
libegl-mesa0:amd64	25.0.7-2
libegl1:amd64	1.7.0-1+b2
libehcache-java	2.6.11-5
libel-api-java	3.0.0-3
libelf1t64:amd64	0.192-4
libeot0:amd64	0.01-5+b2
libepoxy0:amd64	1.5.10-2
libepubgen-0.1-1:amd64	0.1.1-1+b2
liberror-perl	0.17030-1
libespeak1:amd64	1.48.15+dfsg-3+b2
libetonyek-0.1-1:amd64	0.1.12-1
libev4t64:amd64	1:4.33-2.1+b1
libevdev2:amd64	1.13.4+dfsg-1
libevent-2.1-7t64:amd64	2.1.12-stable-10+b1
libexpat1:amd64	2.7.1-2
libexpat1-dev:amd64	2.7.1-2
